country_dir,government_type,capital,chief_of_state,head_of_government,judicial_highest_courts
CRI_costa_rica,presidential republic,San José,President Rodrigo CHAVES Robles (since 8 May 2022),President Rodrigo CHAVES Robles (since 8 May 2022),Supreme Court of Justice (consists of 22 judges organized into 3 cassation chambers each with 5 judges and the Constitutional Chamber with 7 judges)
CUB_cuba,communist state,Havana,President Miguel DIAZ-CANEL Bermudez (since 19 April 2018),Prime Minister Manuel MARRERO Cruz (since 21 December 2019),"People's Supreme Court (consists of court president, vice president, 41 professional justices, and NA lay judges); organization includes the State Council, criminal, civil, administrative, labor, crimes against the state, and military courts)"
CYP_cyprus,"Republic of Cyprus - presidential republic; self-declared ""Turkish Republic of Northern Cyprus"" (TRNC) - parliamentary republic with enhanced presidency",Nicosia (Lefkosia/Lefkosa),President Nikos CHRISTODOULIDIS (since 28 February 2023),President Nikos CHRISTODOULIDIS (since 28 February 2023),"Supreme Court of Cyprus (consists of 13 judges, including the court president)"
CZE_czechia,parliamentary republic,Prague,President Petr PAVEL (since 9 March 2023),Prime Minister Andrej BABIS (since 9 December 2025),"Supreme Court (organized into Civil Law and Commercial Division, and Criminal Division each with a court chief justice, vice justice, and several judges); Constitutional Court (consists of 15 justices); Supreme Administrative Court (consists of 36 judges, including the court president and vice president, and organized into 6-, 7-, and 9-member chambers)"
DEU_germany,federal parliamentary republic,Berlin,President Frank-Walter STEINMEIER (since 19 March 2017),Chancellor Friedrich MERZ (since 6 May 2025),"Federal Court of Justice (court consists of 127 judges, including the court president, vice presidents, presiding judges, other judges; organized into 25 Senates subdivided into 12 civil panels, 5 criminal panels, and 8 special panels); Federal Constitutional Court or Bundesverfassungsgericht (consists of 2 Senates each subdivided into 3 chambers, each with a chairman and 8 members)"
DJI_djibouti,presidential republic,Djibouti,President Ismail Omar GUELLEH (since 8 May 1999),Prime Minister Abdoulkader Kamil MOHAMED (since 1 April 2013),Supreme Court or Cour Suprême (consists of NA magistrates); Constitutional Council (consists of 6 magistrates)
DMA_dominica,parliamentary republic,Roseau,President Sylvanie BURTON (since 2 October 2023),Prime Minister Roosevelt SKERRIT (since 8 January 2004),the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts; the Caribbean Court of Justice is the final court of appeal
DNK_denmark,parliamentary constitutional monarchy,Copenhagen,King FREDERIK X (since 14 January 2024),Prime Minister Mette FREDERIKSEN (since 27 June 2019),Supreme Court (consists of the court president and 18 judges)
DOM_dominican_republic,presidential republic,Santo Domingo,President Luis Rodolfo ABINADER Corona (since 16 August 2020),President Luis Rodolfo ABINADER Corona (since 16 August 2020),Supreme Court of Justice or Suprema Corte de Justicia (consists of a minimum of 16 magistrates); Constitutional Court or Tribunal Constitucional (consists of 13 judges)
DZA_algeria,presidential republic,Algiers,President Abdelmadjid TEBBOUNE (since 12 December 2019),Prime Minister Sifi GHRIEB (since 28 August 2025),"Supreme Court or Le Cour Suprême, (consists of 150 judges organized into 8 chambers: Civil, Commercial and Maritime, Criminal, House of Offenses and Contraventions, House of Petitions, Land, Personal Status, and Social; Constitutional Council (consists of 12 members including the court chairman and deputy chairman)"
ECU_ecuador,presidential republic,Quito,President Daniel NOBOA Azin (since 23 November 2023),President Daniel NOBOA Azin (since 23 November 2023),"National Court of Justice or Corte Nacional de Justicia (consists of 21 judges, including the chief justice and organized into 5 specialized chambers); Constitutional Court or Corte Constitucional (consists of the court president and 8 judges)"
EGY_egypt,presidential republic,Cairo,President Abdel Fattah EL-SISI (since 8 June 2014),Prime Minister Mostafa MADBOULY (since 7 June 2018),"Supreme Constitutional Court (SCC) (consists of the court president and 10 justices); the SCC serves as the final court of arbitration on the constitutionality of laws and conflicts between lower courts regarding jurisdiction and rulings; Court of Cassation (CC) (consists of the court president and 550 judges organized in circuits with cases heard by panels of 5 judges); the CC is the highest appeals body for civil and criminal cases, also known as ""ordinary justices""; Supreme Administrative Court (SAC) (consists of the court president and NA judges and organized in circuits with cases heard by panels of 5 judges); the SAC is the highest court of the State Council"
ERI_eritrea,authoritarian,Asmara,President ISAIAS Afwerki (since 24 May 1993),President ISAIAS Afwerki (since 8 June 1993),"High Court (consists of 20 judges and organized into civil, commercial, criminal, labor, administrative, and customary sections)"
ESP_spain,parliamentary constitutional monarchy,Madrid,King FELIPE VI (since 19 June 2014),President of the Government of Spain (prime minister-equivalent) Pedro SANCHEZ PEREZ-CASTEJON (since 2 June 2018),"Supreme Court or Tribunal Supremo (consists of the court president and organized into the Civil Room, with a president and 9 judges; the Penal Room, with a president and 14 judges; the Administrative Room, with a president and 32 judges; the Social Room, with a president and 12 judges; and the Military Room, with a president and 7 judges); Constitutional Court or Tribunal Constitucional de Espana (consists of 12 judges)"
EST_estonia,parliamentary republic,Tallinn,President Alar KARIS (since 11 October 2021),Prime Minister Kristen MICHAL (since 23 July 2024),"Supreme Court (consists of 19 justices, including the chief justice, and organized into civil, criminal, administrative, and constitutional review chambers)"
ETH_ethiopia,federal parliamentary republic,Addis Ababa,President TAYE Atske Selassie (since 7 October 2024),Prime Minister ABIY Ahmed Ali (since April 2018),Federal Supreme Court (consists of 11 judges)
FIN_finland,parliamentary republic,Helsinki,President Alexander STUBB (since 1 March 2024),Prime Minister Petteri ORPO (since 20 June 2023),"Supreme Court or Korkein Oikeus (consists of the court president and 18 judges); Supreme Administrative Court (consists of 21 judges, including the court president; organized into 3 chambers)"
FJI_fiji,parliamentary republic,Suva (on Viti Levu),President Ratu Naiqama LALABALAVU (since 12 November 2024),Prime Minister Sitiveni Ligamamada RABUKA (since 24 December 2022),"Supreme Court (consists of the chief justice, all justices of the Court of Appeal, and judges appointed specifically as Supreme Court judges); Court of Appeal (consists of the court president, all puisne judges of the High Court, and judges specifically appointed to the Court of Appeal); High Court (chaired by the chief justice and includes a minimum of 10 puisne judges; High Court organized into civil, criminal, family, employment, and tax divisions)"
FRA_france,semi-presidential republic,Paris,President Emmanuel MACRON (since 14 May 2017),Sébastien LECORNU (since 10 September 2025),"Court of Cassation or Cour de Cassation (consists of the court president, 6 divisional presiding judges, 120 trial judges, and 70 deputy judges organized into 6 divisions -- 3 civil, 1 commercial, 1 labor, and 1 criminal); Constitutional Council (consists of 9 members)"
FSM_micronesia,federal republic in free association with the US,Palikir,President Wesley W. SIMINA (since 12 May 2023),President Wesley W. SIMINA (since 12 May 2023),Federated States of Micronesia Supreme Court (consists of the chief justice and not more than 5 associate justices and organized into appellate and criminal divisions)
GAB_gabon,presidential republic,Libreville,President Brice OLIGUI Nguema (since 3 May 2025),President Brice OLIGUI Nguema (since 3 May 2025),"Supreme Court (consists of 4 permanent specialized supreme courts - Supreme Court or Cour de Cassation, Administrative Supreme Court or Conseil d'Etat, Accounting Supreme Court or Cour des Comptes, Constitutional Court or Cour Constitutionnelle, and the non-permanent Court of State Security, initiated only for cases of high treason by the president and criminal activity by executive branch officials)"
GBR_united_kingdom,parliamentary constitutional monarchy; a Commonwealth realm,London,King CHARLES III (since 8 September 2022),Prime Minister Keir STARMER (since 5 July 2024),"Supreme Court (consists of 12 justices, including the court president and deputy president)"
GEO_georgia,semi-presidential republic,Tbilisi,President Mikheil KAVELASHVILI (since 29 December 2024),Prime Minister Irakli KOBAKHIDZE (since 8 February 2024),Supreme Court (consists of 28 judges organized into several specialized judicial chambers; number of judges determined by the president of Georgia); Constitutional Court (consists of 9 judges) 
GHA_ghana,presidential republic,Accra,President John Dramani MAHAMA (since 7 January 2025),President John Dramani MAHAMA (since 7 January 2025),Supreme Court (consists of the chief justice and 13 justices)
GIN_guinea,presidential republic,Conakry,President Col. Mamady DOUMBOUYA (since 17 January 2026),Prime Minister Amadou Oury BAH (since 27 February 2024),"Supreme Court or Cour Suprême (organized into Administrative Chamber and Civil, Penal, and Social Chamber; court consists of the first president, 2 chamber presidents, 10 councilors, the solicitor general, and NA deputies); Constitutional Court - suspended on 5 September 2021"
GMB_gambia,presidential republic,Banjul,President Adama BARROW (since 19 January 2022),Vice President Mohammed JALLOW (since 23 February 2024),Supreme Court of The Gambia (consists of the chief justice and 6 justices; court sessions held with 5 justices)
GNB_guinea_bissau,semi-presidential republic,Bissau,Interim President Gen. Horta Nta Na MAN (since 27 November 2025),Interim Prime Minister Ilídio Vieira TE (since 28 November 2025),"Supreme Court or Supremo Tribunal de Justica (consists of 9 judges and organized into Civil, Criminal, and Social and Administrative Disputes Chambers)"
GNQ_equatorial_guinea,presidential republic,"Malabo; note - Malabo is on the island of Bioko; some months of the year, the government operates out of Bata on the mainland region.",President OBIANG Nguema Mbasogo (since 3 August 1979),Prime Minister Manuel Osa Nsue Nsua (since 17 August 2024),"Supreme Court of Justice (consists of the President of the Supreme Court and nine judges organized into civil, criminal, commercial, labor, administrative, and customary sections); Constitutional Court (consists of the court president and 4 members)"
GRC_greece,parliamentary republic,Athens,President Konstantinos TASOULAS (since 13 March 2025),Prime Minister Kyriakos MITSOTAKIS (since 26 June 2023),"Supreme Civil and Criminal Court or Areios Pagos (consists of 56 judges, including the court presidents); Council of State (supreme administrative court) consists of the president, 7 vice presidents, 42 privy councilors, 48 associate councilors and 50 reporting judges, organized into six 5- and 7-member chambers; Court of Audit (government audit and enforcement) consists of the president, 5 vice presidents, 20 councilors, and 90 associate and reporting judges"
GRD_grenada,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Saint George's,King CHARLES III (since 8 September 2022); represented by Governor General Cecile LA GRENADE (since 7 May 2013),Prime Minister Dickon MITCHELL (since 24 June 2022),"regionally, the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts "
GTM_guatemala,presidential republic,Guatemala City,President Bernardo ARÉVALO de León (since 15 January 2024),President Bernardo ARÉVALO de León (since 15 January 2024),"Supreme Court of Justice or Corte Suprema de Justicia (consists of 13 magistrates, including the court president and organized into 3 chambers)"
GUY_guyana,parliamentary republic,Georgetown,President Mohammed Irfaan ALI (since 2 August 2020),President Mohammed Irfaan ALI (since 2 August 2020),"Supreme Court of Judicature (consists of the Court of Appeal with a chief justice and 3 justices, and the High Court with a chief justice and 10 justices organized into 3- or 5-judge panels); Caribbean Court of Justice is the final court of appeal in civil and criminal cases"
HND_honduras,presidential republic,Tegucigalpa,President Iris Xiomara CASTRO de Zelaya (since 27 January 2022),President Iris Xiomara CASTRO de Zelaya (since 27 January 2022),"Supreme Court of Justice or Corte Suprema de Justicia (15 principal judges, including the court president, and 6 alternates; court organized into civil, criminal, constitutional, and labor chambers)"
HRV_croatia,parliamentary republic,Zagreb,President Zoran MILANOVIC (since 18 February 2020),Prime Minister Andrej PLENKOVIC (since 19 October 2016),"Supreme Court (consists of the court president and vice president, 25 civil department justices, and 16 criminal department justices)"
HTI_haiti,semi-presidential republic,Port-au-Prince,President (vacant),Prime Minister Alix Didier FILS-AIMÉ (since 10 November 2024),Supreme Court or Cour de cassation (consists of 12 judges)
HUN_hungary,parliamentary republic,Budapest,President Tamas SULYOK (since 5 March 2024),Prime Minister Viktor ORBAN (since 29 May 2010),"Curia or Supreme Judicial Court (consists of the president, vice president, department heads, and has a maximum of 113 judges, and is organized into civil, criminal, and administrative-labor departments; Constitutional Court (consists of 15 judges, including the court president and vice president)"
IDN_indonesia,presidential republic,Jakarta,President PRABOWO Subianto Djojohadikusumo (since 20 October 2024),President PRABOWO Subianto Djojohadikusumo (since 20 October 2024),Supreme Court or Mahkamah Agung (51 judges divided into 8 chambers); Constitutional Court or Mahkamah Konstitusi (consists of 9 judges)
IND_india,federal parliamentary republic,New Delhi,President Droupadi MURMU (since 25 July 2022),Prime Minister Narendra MODI (since 26 May 2014),"Supreme Court (consists of 28 judges, including the chief justice)"
IRL_ireland,parliamentary republic,Dublin,President Catherine CONNOLLY (since 11 November 2025),Taoiseach (Prime Minister) Michael MARTIN (since 23 January 2025),"Supreme Court of Ireland (consists of the chief justice, 9 judges, 2 ex-officio members -- the presidents of the High Court and Court of Appeal -- and organized in 3-, 5-, or 7-judge panels, depending on the importance or complexity of an issue of law)"
IRN_iran,theocratic republic,Tehran,Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989),President Masoud PEZESHKIAN (since 30 July 2024),"Supreme Court (consists of the chief justice and organized into 42 two-bench branches, each with a justice and a judge)"
IRQ_iraq,federal parliamentary republic,Baghdad,President Latif RASHID (since 13 October 2022),Prime Minister Mohammed Shia al-SUDANI (since 27 October 2022),"Federal Supreme Court or FSC (consists of 9 judges); Court of Cassation (consists of a court president, 5 vice presidents, and at least 24 judges)"
ISL_iceland,unitary parliamentary republic,Reykjavik,President Halla TOMASDOTTIR (since 1 August 2024),Prime Minister Kristrun FROSTADOTTIR (since 21 December 2024),Supreme Court or Haestirettur (consists of 7 judges)
ISR_israel,parliamentary democracy,Jerusalem,President Isaac HERZOG (since 7 July 2021),Prime Minister Benyamin NETANYAHU (since 29 December 2022),"Supreme Court (consists of the president, deputy president, 13 justices, and 2 registrars) and normally sits in panels of 3 justices; in special cases, the panel is expanded with an uneven number of justices"
ITA_italy,parliamentary republic,Rome,President Sergio MATTARELLA (since 3 February 2015),Prime Minister Giorgia MELONI (since 22 October 2022); the prime minister's official title is President of the Council of Ministers,"Supreme Court of Cassation or Corte Suprema di Cassazione (consists of the first president, deputy president, 54 justices presiding over 6 civil and 7 criminal divisions, and 288 judges; an additional 30 judges of lower courts serve as supporting judges; cases normally heard by 5-judge panels; more complex cases heard by 9-judge panels); Constitutional Court or Corte Costituzionale (consists of the court president and 14 judges)"
JAM_jamaica,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm,Kingston,King CHARLES III (since 8 September 2022); represented by Governor General Sir Patrick L. ALLEN (since 26 February 2009),Prime Minister Andrew HOLNESS (since 3 March 2016),Court of Appeal (consists of president of the court and a minimum of 4 judges); Supreme Court (40 judges organized in specialized divisions)
